# Spacecraft Trajectory — artemis1 (Earth-Moon)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km
73.620000,26217.358,-28496.782,-2807.0866,-5932.8784,6563.4428,38722.299,360448.562,0.000,0.000,385537.688,0.000
74.020000,23521.715,-29446.508,-4204.2107,-5720.7144,7099.4338,37687.769,363223.410,0.000,0.000,385549.544,0.000
74.420000,20457.608,-29918.592,-5677.6943,-5392.9644,7830.7264,36244.115,366327.638,0.000,0.000,385561.452,0.000
74.820000,17037.123,-29844.897,-7262.2879,-4915.4837,8769.4245,34365.411,369742.768,0.000,0.000,385573.412,0.000
75.220000,13273.251,-29133.188,-9004.9923,-4229.5947,9948.8370,32014.401,373450.261,0.000,0.000,385585.425,0.000
75.620000,9184.749,-27652.720,-10972.8143,-3229.6745,11438.2451,29138.163,377427.111,0.000,0.000,385597.490,0.000
76.020000,4807.921,-25206.695,-13264.8160,-1708.9052,13374.4421,25661.129,381635.037,0.000,0.000,385609.607,0.000
76.420000,230.459,-21473.736,-16022.6935,793.9777,16042.3536,21474.972,385989.104,0.000,0.000,385621.776,0.000
76.820000,-4287.269,-15866.105,-19345.8282,5534.2178,20121.8447,16435.144,390243.932,0.000,0.000,385633.996,-0.000
77.220000,-7695.393,-7166.869,-21663.2218,17013.1990,27545.3103,10515.850,393406.948,0.000,0.000,385646.268,0.000
77.620000,-4201.658,5069.077,2481.2778,36583.1853,36667.2359,6584.032,389893.204,0.000,0.000,385658.592,0.000
78.020000,7676.236,8352.390,21110.6815,15539.3217,26213.1912,11344.030,378086.998,0.000,0.000,385670.966,0.000
78.420000,16224.753,5620.213,18671.1629,5421.3990,19442.3222,17170.597,369501.383,0.000,0.000,385683.391,0.000
78.820000,22020.252,1709.141,15590.6633,995.0673,15622.3859,22086.481,363679.632,0.000,0.000,385695.867,0.000
79.220000,26057.901,-2410.437,13000.4466,-1436.1145,13079.5274,26169.150,359658.571,0.000,0.000,385708.394,0.000
79.620000,28845.980,-6456.108,10818.7468,-2956.8437,11215.5342,29559.633,356933.383,0.000,0.000,385720.971,-0.000
80.020000,30672.653,-10316.773,8925.8404,-3982.2403,9773.8869,32361.203,355210.797,0.000,0.000,385733.598,-0.000
80.420000,31718.355,-13938.440,7235.4309,-4703.6267,8629.9226,34645.839,354302.199,0.000,0.000,385746.275,0.000
80.820000,32104.574,-17289.311,5687.7594,-5220.6672,7720.4905,36464.009,354076.792,0.000,0.000,385759.001,-0.000
81.220000,31917.581,-20346.580,4240.0674,-5589.5711,7015.8019,37851.226,354438.677,0.000,0.000,385771.778,-0.000
81.620000,31221.135,-23090.565,2860.1431,-5843.4442,6505.8634,38832.120,355314.547,0.000,0.000,385784.604,-0.000
82.020000,30063.840,-25501.628,1522.1969,-6001.7804,6191.8052,39422.932,356646.540,0.000,0.000,385797.479,-0.000
82.420000,28483.682,-27558.211,204.1129,-6075.1218,6078.5498,39633.005,358387.835,0.000,0.000,385810.402,0.000
82.820000,26511.010,-29235.230,-1114.5645,-6067.2675,6168.7915,39465.584,360499.757,0.000,0.000,385823.375,0.000
83.220000,24170.639,-30502.414,-2454.3263,-5975.9872,6460.3514,38918.081,362949.746,0.000,0.000,385836.397,0.000
83.620000,21483.491,-31322.222,-3837.4038,-5792.5217,6948.3074,37981.864,365709.784,0.000,0.000,385849.466,0.000
84.020000,18468.115,-31646.958,-5289.8115,-5499.6604,7630.7517,36641.523,368754.968,0.000,0.000,385862.585,0.000
84.420000,15142.470,-31414.401,-6844.1680,-5067.5562,8516.0296,34873.471,372061.863,0.000,0.000,385875.751,-0.000
84.820000,11526.641,-30540.793,-8543.9932,-4445.1555,9631.1592,32643.583,375606.030,0.000,0.000,385888.965,0.000
85.220000,7647.938,-28908.801,-10450.6345,-3541.8837,11034.5232,29903.340,379357.385,0.000,0.000,385902.226,0.000
85.620000,3552.283,-26345.199,-12654.3387,-2184.6223,12841.5289,26583.608,383269.783,0.000,0.000,385915.535,0.000
86.020000,-665.963,-22575.358,-15287.5244,-1.3080,15287.5245,22585.179,387253.442,0.000,0.000,385928.892,0.000
