# Spacecraft Trajectory — earth-escape (Earth-Moon-Sun)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Earth_km,dist_Moon_km,dist_Sun_km,bx_Earth_km,by_Earth_km,bx_Moon_km,by_Moon_km,bx_Sun_km,by_Sun_km
112.050000,2812257.890,594385.300,7482.9726,24185.4317,25316.5950,2874384.861,2500772.099,150679631.271,0.000,0.000,383149.575,0.000,-82424656.046,124848237.485
113.050000,2842642.527,572402.432,7483.8024,24183.1945,25314.7031,2899700.171,2525259.865,150691410.223,0.000,0.000,383111.507,0.000,-81320083.776,125570548.882
114.050000,2872860.490,549888.272,7484.6526,24180.9564,25312.8165,2925013.591,2549788.341,150703226.299,0.000,0.000,383072.653,0.000,-80209029.326,126283185.379
115.050000,2902904.401,526843.790,7485.5233,24178.7173,25310.9350,2950325.124,2574357.439,150715079.488,0.000,0.000,383033.007,-0.000,-79091570.829,126986091.047
116.050000,2932766.883,503270.042,7486.4144,24176.4770,25309.0584,2975634.777,2598967.069,150726969.776,0.000,0.000,382992.562,0.000,-77967786.777,127679210.516
117.050000,2962440.561,479168.168,7487.3260,24174.2352,25307.1867,3000942.554,2623617.145,150738897.153,0.000,0.000,382951.312,0.000,-76837756.020,128362488.975
118.050000,2991918.059,454539.397,7488.2580,24171.9919,25305.3196,3026248.459,2648307.578,150750861.605,0.000,0.000,382909.251,0.000,-75701557.763,129035872.170
119.050000,3021192.005,429385.040,7489.2105,24169.7468,25303.4569,3051552.497,2673038.281,150762863.119,0.000,0.000,382866.373,0.000,-74559271.560,129699306.403
120.050000,3050255.028,403706.498,7490.1835,24167.4998,25301.5986,3076854.672,2697809.167,150774901.684,0.000,0.000,382822.673,0.000,-73410977.317,130352738.530
121.050000,3079099.763,377505.255,7491.1768,24165.2507,25299.7445,3102154.988,2722620.151,150786977.286,0.000,0.000,382778.145,0.000,-72256755.289,130996115.961
122.050000,3107718.849,350782.884,7492.1907,24162.9995,25297.8945,3127453.449,2747471.144,150799089.913,0.000,0.000,382732.784,0.000,-71096686.073,131629386.657
123.050000,3136104.930,323541.042,7493.2249,24160.7459,25296.0483,3152750.059,2772362.060,150811239.551,0.000,0.000,382686.584,0.000,-69930850.616,132252499.130
124.050000,3164250.655,295781.473,7494.2797,24158.4898,25294.2060,3178044.822,2797292.811,150823426.187,0.000,0.000,382639.541,-0.000,-68759330.203,132865402.441
125.050000,3192148.684,267506.009,7495.3549,24156.2312,25292.3674,3203337.741,2822263.311,150835649.809,0.000,0.000,382591.649,0.000,-67582206.463,133468046.199
126.050000,3219791.680,238716.567,7496.4505,24153.9699,25290.5325,3228628.820,2847273.469,150847910.403,0.000,0.000,382542.905,-0.000,-66399561.366,134060380.562
127.050000,3247172.317,209415.150,7497.5667,24151.7058,25288.7010,3253918.063,2872323.197,150860207.956,0.000,0.000,382493.304,-0.000,-65211477.219,134642356.233
128.050000,3274283.278,179603.850,7498.7033,24149.4387,25286.8729,3279205.472,2897412.406,150872542.454,0.000,0.000,382442.841,0.000,-64018036.670,135213924.460
129.050000,3301117.256,149284.843,7499.8605,24147.1687,25285.0482,3304491.050,2922541.005,150884913.884,0.000,0.000,382391.513,0.000,-62819322.702,135775037.035
130.050000,3327666.956,118460.395,7501.0382,24144.8956,25283.2268,3329774.802,2947708.903,150897322.232,0.000,0.000,382339.315,0.000,-61615418.636,136325646.295
131.050000,3353925.093,87132.855,7502.2364,24142.6193,25281.4085,3355056.730,2972916.006,150909767.486,0.000,0.000,382286.244,0.000,-60406408.129,136865705.117
132.050000,3379884.395,55304.662,7503.4552,24140.3398,25279.5934,3380336.837,2998162.221,150922249.630,0.000,0.000,382232.297,-0.000,-59192375.175,137395166.922
133.050000,3405537.605,22978.341,7504.6945,24138.0569,25277.7813,3405615.126,3023447.454,150934768.651,0.000,0.000,382177.470,0.000,-57973404.100,137913985.672
134.050000,3430877.479,-9843.496,7505.9544,24135.7706,25275.9723,3430891.599,3048771.608,150947324.535,0.000,0.000,382121.761,-0.000,-56749579.570,138422115.869
135.050000,3455896.786,-43158.151,7507.2350,24133.4808,25274.1661,3456166.261,3074134.586,150959917.269,0.000,0.000,382065.166,-0.000,-55520986.583,138919512.556
136.050000,3480588.315,-76962.837,7508.5361,24131.1875,25272.3629,3481439.113,3099536.289,150972546.838,0.000,0.000,382007.683,0.000,-54287710.473,139406131.314
137.050000,3504944.868,-111254.680,7509.8579,24128.8906,25270.5625,3506710.158,3124976.617,150985213.228,0.000,0.000,381949.310,0.000,-53049836.911,139881928.266
138.050000,3528959.266,-146030.721,7511.2004,24126.5901,25268.7649,3531979.399,3150455.468,150997916.425,0.000,0.000,381890.044,0.000,-51807451.902,140346860.074
139.050000,3552624.348,-181287.911,7512.5635,24124.2859,25266.9701,3557246.838,3175972.739,151010656.415,0.000,0.000,381829.884,0.000,-50560641.788,140800883.937
140.050000,3575932.973,-217023.115,7513.9474,24121.9779,25265.1781,3582512.478,3201528.326,151023433.183,0.000,0.000,381768.827,0.000,-49309493.250,141243957.596
141.050000,3598878.017,-253233.110,7515.3520,24119.6661,25263.3887,3607776.322,3227122.120,151036246.716,0.000,0.000,381706.873,0.000,-48054093.302,141676039.332
142.050000,3621452.381,-289914.586,7516.7773,24117.3505,25261.6020,3633038.372,3252754.015,151049096.997,0.000,0.000,381644.020,0.000,-46794529.300,142097087.963
143.050000,3643648.984,-327064.146,7518.2235,24115.0311,25259.8180,3658298.631,3278423.900,151061984.014,0.000,0.000,381580.268,0.000,-45530888.938,142507062.850
144.050000,3665460.769,-364678.303,7519.6904,24112.7077,25258.0367,3683557.101,3304131.663,151074907.752,0.000,0.000,381515.614,0.000,-44263260.250,142905923.893
145.050000,3686880.703,-402753.486,7521.1782,24110.3804,25256.2580,3708813.785,3329877.191,151087868.195,0.000,0.000,381450.060,0.000,-42991731.611,143293631.535
146.050000,3707901.775,-441286.034,7522.6868,24108.0492,25254.4819,3734068.684,3355660.369,151100865.329,0.000,0.000,381383.604,0.000,-41716391.738,143670146.760
147.050000,3728517.001,-480272.199,7524.2163,24105.7140,25252.7084,3759321.802,3381481.078,151113899.139,0.000,0.000,381316.246,0.000,-40437329.692,144035431.096
148.050000,3748719.422,-519708.144,7525.7667,24103.3748,25250.9375,3784573.141,3407339.199,151126969.610,0.000,0.000,381247.988,-0.000,-39154634.880,144389446.616
149.050000,3768502.106,-559589.947,7527.3380,24101.0316,25249.1692,3809822.704,3433234.612,151140076.728,0.000,0.000,381178.829,0.000,-37868397.051,144732155.936
150.050000,3787858.149,-599913.597,7528.9303,24098.6844,25247.4035,3835070.492,3459167.192,151153220.478,0.000,0.000,381108.769,0.000,-36578706.308,145063522.223
151.050000,3806780.674,-640674.993,7530.5436,24096.3332,25245.6404,3860316.508,3485136.814,151166400.844,0.000,0.000,381037.811,0.000,-35285653.097,145383509.189
152.050000,3825262.835,-681869.949,7532.1779,24093.9779,25243.8799,3885560.755,3511143.350,151179617.811,0.000,0.000,380965.955,0.000,-33989328.219,145692081.097
153.050000,3843297.816,-723494.190,7533.8333,24091.6185,25242.1221,3910803.236,3537186.672,151192871.364,0.000,0.000,380893.202,0.000,-32689822.825,145989202.764
154.050000,3860878.832,-765543.354,7535.5097,24089.2551,25240.3669,3936043.951,3563266.647,151206161.489,0.000,0.000,380819.555,-0.000,-31387228.422,146274839.559
155.050000,3877999.131,-808012.989,7537.2072,24086.8877,25238.6143,3961282.904,3589383.142,151219488.169,0.000,0.000,380745.016,0.000,-30081636.871,146548957.408
156.050000,3894651.992,-850898.558,7538.9259,24084.5161,25236.8643,3986520.098,3615536.020,151232851.389,0.000,0.000,380669.585,-0.000,-28773140.394,146811522.795
157.050000,3910830.730,-894195.434,7540.6657,24082.1406,25235.1171,4011755.535,3641725.142,151246251.134,0.000,0.000,380593.268,0.000,-27461831.569,147062502.767
158.050000,3926528.694,-937898.902,7542.4267,24079.7609,25233.3725,4036989.217,3667950.370,151259687.388,0.000,0.000,380516.065,0.000,-26147803.338,147301864.933
159.050000,3941739.270,-982004.160,7544.2089,24077.3773,25231.6306,4062221.146,3694211.560,151273160.137,0.000,0.000,380437.980,0.000,-24831149.006,147529577.470
160.050000,3956455.879,-1026506.318,7546.0124,24074.9896,25229.8915,4087451.326,3720508.566,151286669.364,0.000,0.000,380359.017,0.000,-23511962.244,147745609.124
161.050000,3970671.982,-1071400.397,7547.8371,24072.5978,25228.1551,4112679.759,3746841.243,151300215.053,0.000,0.000,380279.178,0.000,-22190337.089,147949929.216
