# Spacecraft Trajectory — jupiter-io (Jupiter-Io)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Jupiter_km,dist_Io_km,bx_Jupiter_km,by_Jupiter_km,bx_Io_km,by_Io_km
3.841000,64377.785,-201185.704,-48660.3976,-82663.2156,95922.0596,211234.909,410132.322,0.000,0.000,421775.091,0.000
3.861000,62067.815,-202233.226,-49223.5847,-82191.2251,95803.7514,211543.592,412658.964,0.000,0.000,421774.838,0.000
3.881000,59747.961,-203254.795,-49780.8960,-81715.6147,95684.7913,211854.503,415181.632,0.000,0.000,421774.584,0.000
3.901000,57418.535,-204250.351,-50332.3199,-81236.4699,95565.1948,212167.608,417700.072,0.000,0.000,421774.329,0.000
3.921000,55079.851,-205219.841,-50877.8464,-80753.8757,95444.9773,212482.877,420214.035,0.000,0.000,421774.072,0.000
3.941000,52732.218,-206163.217,-51417.4671,-80267.9166,95324.1541,212800.279,422723.281,0.000,0.000,421773.815,0.000
3.961000,50375.949,-207080.433,-51951.1745,-79778.6766,95202.7403,213119.783,425227.572,0.000,0.000,421773.556,-0.000
3.981000,48011.353,-207971.447,-52478.9627,-79286.2391,95080.7511,213441.357,427726.680,0.000,0.000,421773.296,0.000
4.001000,45638.740,-208836.223,-53000.8272,-78790.6868,94958.2014,213764.970,430220.380,0.000,0.000,421773.035,0.000
4.021000,43258.419,-209674.726,-53516.7647,-78292.1022,94835.1062,214090.592,432708.455,0.000,0.000,421772.773,0.000
4.041000,40870.698,-210486.928,-54026.7729,-77790.5667,94711.4801,214418.192,435190.690,0.000,0.000,421772.509,0.000
4.061000,38475.883,-211272.803,-54530.8513,-77286.1613,94587.3378,214747.737,437666.880,0.000,0.000,421772.245,0.000
4.081000,36074.281,-212032.328,-55029.0000,-76778.9665,94462.6939,215079.199,440136.822,0.000,0.000,421771.979,0.000
4.101000,33666.197,-212765.486,-55521.2207,-76269.0619,94337.5628,215412.546,442600.319,0.000,0.000,421771.712,0.000
4.121000,31251.936,-213472.262,-56007.5162,-75756.5265,94211.9589,215747.747,445057.179,0.000,0.000,421771.444,0.000
4.141000,28831.800,-214152.646,-56487.8904,-75241.4387,94085.8962,216084.772,447507.216,0.000,0.000,421771.175,0.000
4.161000,26406.092,-214806.631,-56962.3482,-74723.8761,93959.3889,216423.590,449950.246,0.000,0.000,421770.905,0.000
4.181000,23975.112,-215434.213,-57430.8957,-74203.9155,93832.4509,216764.172,452386.093,0.000,0.000,421770.633,0.000
4.201000,21539.161,-216035.393,-57893.5400,-73681.6331,93705.0961,217106.486,454814.583,0.000,0.000,421770.361,-0.000
4.221000,19098.536,-216610.173,-58350.2894,-73157.1044,93577.3381,217450.503,457235.547,0.000,0.000,421770.087,-0.000
4.241000,16653.535,-217158.563,-58801.1531,-72630.4040,93449.1905,217796.193,459648.822,0.000,0.000,421769.812,-0.000
4.261000,14204.453,-217680.571,-59246.1412,-72101.6059,93320.6667,218143.525,462054.248,0.000,0.000,421769.537,0.000
4.281000,11751.586,-218176.213,-59685.2650,-71570.7832,93191.7800,218492.470,464451.668,0.000,0.000,421769.260,0.000
