# Spacecraft Trajectory — mars-approach (Mars-Phobos)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Mars_km,dist_Phobos_km,bx_Mars_km,by_Mars_km,bx_Phobos_km,by_Phobos_km
6.162000,-1200.493,-4722.407,1057.6045,-10002.7453,10058.5009,4872.608,11584.028,0.000,0.000,9377.247,0.000
6.202000,-962.328,-4769.644,1985.1819,-9876.9101,10074.4380,4865.756,11386.621,0.000,0.000,9377.190,0.000
6.242000,-720.366,-4801.008,2902.5308,-9674.0260,10100.0725,4854.751,11180.750,0.000,0.000,9377.133,0.000
6.282000,-475.125,-4816.273,3804.6851,-9394.1080,10135.3290,4839.652,10966.420,0.000,0.000,9377.077,0.000
6.322000,-227.146,-4815.183,4686.4858,-9037.2165,10180.0997,4820.538,10743.651,0.000,0.000,9377.021,-0.000
6.362000,22.997,-4797.458,5542.5206,-8603.4975,10234.2417,4797.513,10512.485,0.000,0.000,9376.967,0.000
6.402000,274.691,-4762.790,6367.0662,-8093.2351,10297.5718,4770.705,10273.005,0.000,0.000,9376.913,0.000
6.442000,527.266,-4710.855,7154.0335,-7506.9190,10369.8615,4740.270,10025.343,0.000,0.000,9376.861,0.000
6.482000,779.987,-4641.308,7896.9186,-6845.3283,10450.8298,4706.391,9769.703,0.000,0.000,9376.810,0.000
6.522000,1032.046,-4553.799,8588.7614,-6109.6338,10540.1351,4669.283,9506.383,0.000,0.000,9376.760,0.000
6.562000,1282.546,-4447.976,9222.1169,-5301.5194,10637.3656,4629.191,9235.799,0.000,0.000,9376.711,0.000
6.602000,1530.491,-4323.498,9789.0431,-4423.3258,10742.0285,4586.397,8958.519,0.000,0.000,9376.663,0.000
6.642000,1774.775,-4180.051,10281.1135,-3478.2151,10853.5374,4541.217,8675.300,0.000,0.000,9376.617,0.000
6.682000,2014.174,-4017.365,10689.4597,-2470.3577,10971.1994,4494.009,8387.140,0.000,0.000,9376.572,0.000
6.722000,2247.340,-3835.232,11004.8568,-1405.1364,11094.2003,4445.170,8095.327,0.000,0.000,9376.528,0.000
6.762000,2472.790,-3633.533,11217.8598,-289.3641,11221.5912,4395.140,7801.512,0.000,0.000,9376.486,0.000
6.802000,2688.910,-3412.267,11319.0039,868.4955,11352.2744,4344.399,7507.775,0.000,0.000,9376.445,0.000
6.842000,2893.960,-3171.579,11299.0795,2058.1186,11484.9923,4293.474,7216.719,0.000,0.000,9376.406,0.000
6.882000,3086.077,-2911.796,11149.4899,3267.1447,11618.3199,4242.927,6931.546,0.000,0.000,9376.369,0.000
6.922000,3263.302,-2633.463,10862.6974,4481.0580,11750.6628,4193.360,6656.146,0.000,0.000,9376.333,0.000
6.962000,3423.601,-2337.376,10432.7527,5683.1623,11880.2636,4145.404,6395.150,0.000,0.000,9376.299,0.000
7.002000,3564.907,-2024.618,9855.8917,6854.6830,12005.2189,4099.712,6153.939,0.000,0.000,9376.266,0.000
7.042000,3685.166,-1696.583,9131.1709,7975.0363,12123.5096,4056.950,5938.575,0.000,0.000,9376.236,0.000
7.082000,3782.394,-1355.001,8261.0917,9022.2931,12233.0458,4017.777,5755.586,0.000,0.000,9376.207,0.000
7.122000,3854.749,-1001.939,7252.1493,9973.8562,12331.7264,3982.835,5611.602,0.000,0.000,9376.179,0.000
7.162000,3900.602,-639.795,6115.2289,10807.3420,12417.5145,3952.725,5512.804,0.000,0.000,9376.154,0.000
7.202000,3918.613,-271.272,4865.7681,11501.6288,12488.5213,3927.991,5464.256,0.000,0.000,9376.130,0.000
7.242000,3907.799,100.673,3523.6155,12037.9992,12543.0974,3909.095,5469.237,0.000,0.000,9376.109,0.000
7.282000,3867.600,472.891,2112.5441,12401.2714,12579.9195,3896.403,5528.750,0.000,0.000,9376.089,0.000
7.322000,3797.920,842.126,659.4157,12580.7975,12598.0671,3890.164,5641.360,0.000,0.000,9376.071,0.000
7.362000,3699.153,1205.107,-806.9501,12571.2053,12597.0779,3890.504,5803.404,0.000,0.000,9376.055,-0.000
7.402000,3572.178,1558.650,-2257.1062,12372.7858,12576.9773,3897.415,6009.511,0.000,0.000,9376.042,0.000
7.442000,3418.333,1899.748,-3662.3742,11991.4717,12538.2765,3910.760,6253.254,0.000,0.000,9376.030,0.000
7.482000,3239.369,2225.659,-4996.1595,11438.4104,12481.9407,3930.276,6527.790,0.000,0.000,9376.020,0.000
7.522000,3037.376,2533.972,-6235.0567,10729.1914,12409.3303,3955.587,6826.370,0.000,0.000,9376.012,0.000
7.562000,2814.704,2822.657,-7359.6499,9882.8280,12322.1238,3986.220,7142.694,0.000,0.000,9376.006,0.000
7.602000,2573.880,3090.085,-8354.9640,8920.6200,12222.2291,4021.627,7471.111,0.000,0.000,9376.002,0.000
7.642000,2317.518,3335.034,-9210.5724,7865.0165,12111.6938,4061.200,7806.704,0.000,0.000,9376.000,0.000
7.682000,2048.246,3556.673,-9920.4069,6738.5815,11992.6208,4104.295,8145.300,0.000,0.000,9376.000,0.000
